t,air_temperature,humidity,ambient_CO2,Wind,PARi,air_temperature(original)
0,19.1,0.84,421,2.2,0,19.1
1,17.9,0.9,421,2.2,0,17.9
2,17.1,0.94,421,2.2,0,17.1
3,16.7,0.94,421,2.2,0,16.7
4,16.5,0.94,421,2.2,5.611111111,16.5
5,16.4,0.94,421,2.2,16.83333333,16.4
6,16.6,0.94,421,2.2,28.05555556,16.6
7,16.9,0.84,421,2.2,61.72222222,16.9
8,16.5,0.85,421,2.2,89.77777778,16.5
9,15.5,0.85,421,2.2,134.6666667,15.5
10,16.3,0.77,421,2.2,342.2777778,16.3
11,18.2,0.69,421,2.2,1021.222222,18.2
12,17.8,0.6,421,2.2,1464.5,17.8
13,18.7,0.57,421,2.2,1195.166667,18.7
14,18.8,0.53,421,2.2,1066.111111,18.8
15,19.2,0.5,421,2.2,937.0555556,19.2
16,18.8,0.47,421,2.2,914.6111111,18.8
17,18.1,0.48,421,2.2,437.6666667,18.1
18,16.3,0.54,421,2.2,263.7222222,16.3
19,13.8,0.65,421,2.2,44.88888889,13.8
20,11.6,0.77,421,2.2,0,11.6
21,12.1,0.71,421,2.2,0,12.1
22,12,0.69,421,2.2,0,12
23,10.5,0.77,421,2.2,0,10.5
24,10.4,0.83,421,2.8,0,10.4
25,9.7,0.83,421,2.8,0,9.7
26,11.8,0.76,421,2.8,0,11.8
27,9.5,0.8,421,2.8,0,9.5
28,9.2,0.9,421,2.8,67.33333333,9.2
29,13.7,0.72,421,2.8,336.6666667,13.7
30,14.9,0.68,421,2.8,667.7222222,14.9
31,16.1,0.67,421,2.8,1026.833333,16.1
32,18.3,0.63,421,2.8,1290.555556,18.3
33,19.5,0.62,421,2.8,1548.666667,19.5
34,20.3,0.57,421,2.8,1739.444444,20.3
35,21.3,0.55,421,2.8,1548.666667,21.3
36,22.4,0.53,421,2.8,1795.555556,22.4
37,23,0.43,421,2.8,1582.333333,23
38,23.2,0.33,421,2.8,1464.5,23.2
39,22.8,0.4,421,2.8,1189.555556,22.8
40,22,0.39,421,2.8,892.1666667,22
41,20.9,0.44,421,2.8,538.6666667,20.9
42,19.6,0.5,421,2.8,207.6111111,19.6
43,17.4,0.59,421,2.8,11.22222222,17.4
44,16.1,0.64,421,2.8,0,16.1
45,15.4,0.68,421,2.8,0,15.4
46,13.2,0.77,421,2.8,0,13.2
47,14,0.78,421,2.8,0,14
48,13.3,0.76,421,3.1,0,13.3
49,13,0.76,421,3.1,0,13
50,12.7,0.77,421,3.1,0,12.7
51,12.2,0.79,421,3.1,0,12.2
52,12,0.78,421,3.1,0,12
53,12.4,0.77,421,3.1,101,12.4
54,13.4,0.75,421,3.1,252.5,13.4
55,14,0.73,421,3.1,426.4444444,14
56,14.6,0.68,421,3.1,505,14.6
57,16.9,0.63,421,3.1,1105.388889,16.9
58,17.7,0.57,421,3.1,1307.388889,17.7
59,18.1,0.54,421,3.1,1251.277778,18.1
60,19.5,0.48,421,3.1,1537.444444,19.5
61,19.8,0.49,421,3.1,1369.111111,19.8
62,20.1,0.47,421,3.1,1094.166667,20.1
63,19.1,0.5,421,3.1,931.4444444,19.1
64,19.9,0.48,421,3.1,650.8888889,19.9
65,18.3,0.51,421,3.1,448.8888889,18.3
66,17.1,0.57,421,3.1,134.6666667,17.1
67,16.3,0.61,421,3.1,0,16.3
68,15.2,0.65,421,3.1,0,15.2
69,15.1,0.66,421,3.1,0,15.1
70,14.7,0.7,421,3.1,0,14.7
71,14.6,0.73,421,3.1,0,14.6
72,13.2,0.63,421,3.4,0,13.2
73,13.2,0.63,421,3.4,0,13.2
74,12.9,0.63,421,3.4,0,12.9
75,12.4,0.68,421,3.4,0,12.4
76,11.7,0.72,421,3.4,0,11.7
77,11.6,0.73,421,3.4,28.05555556,11.6
78,11.7,0.73,421,3.4,101,11.7
79,11.9,0.75,421,3.4,224.4444444,11.9
80,12.3,0.75,421,3.4,404,12.3
81,12.6,0.73,421,3.4,499.3888889,12.6
82,13.1,0.73,421,3.4,437.6666667,13.1
83,13.9,0.71,421,3.4,645.2777778,13.9
84,15,0.68,421,3.4,690.1666667,15
85,15.7,0.69,421,3.4,645.2777778,15.7
86,15.9,0.67,421,3.4,549.8888889,15.9
87,16.2,0.65,421,3.4,460.1111111,16.2
88,16.2,0.65,421,3.4,246.8888889,16.2
89,16.2,0.67,421,3.4,179.5555556,16.2
90,15.4,0.75,421,3.4,56.11111111,15.4
91,13.6,0.83,421,3.4,0,13.6
92,14.1,0.78,421,3.4,0,14.1
93,14,0.8,421,3.4,0,14
94,12.7,0.85,421,3.4,0,12.7
95,11.8,0.88,421,3.4,0,11.8
96,10.5,0.86,421,3,0,10.5
97,11.6,0.85,421,3,0,11.6
98,12.1,0.81,421,3,0,12.1
99,12.1,0.84,421,3,0,12.1
100,12.5,0.84,421,3,11.22222222,12.5
101,13.3,0.81,421,3,123.4444444,13.3
102,15.2,0.73,421,3,521.8333333,15.2
103,18,0.63,421,3,1066.111111,18
104,19.8,0.56,421,3,1453.277778,19.8
105,19,0.52,421,3,909,19
106,20.7,0.48,421,3,1593.555556,20.7
107,20.7,0.48,421,3,948.2777778,20.7
108,20.7,0.51,421,3,611.6111111,20.7
109,20.3,0.5,421,3,740.6666667,20.3
110,19.3,0.6,421,3,937.0555556,19.3
111,18.9,0.57,421,3,353.5,18.9
112,19,0.51,421,3,140.2777778,19
113,18.7,0.51,421,3,179.5555556,18.7
114,18,0.54,421,3,56.11111111,18
115,16.9,0.62,421,3,0,16.9
116,15.8,0.7,421,3,0,15.8
117,14.8,0.7,421,3,0,14.8
118,12.5,0.79,421,3,0,12.5
119,12.7,0.81,421,3,0,12.7
120,15.2,0.93,421,2,0,15.2
121,15.2,0.93,421,2,0,15.2
122,15.9,0.88,421,2,0,15.9
123,14.8,0.93,421,2,0,14.8
124,14.9,0.93,421,2,33.66666667,14.9
125,15.4,0.9,421,2,168.3333333,15.4
126,15.9,0.9,421,2,213.2222222,15.9
127,17.9,0.76,421,2,572.3333333,17.9
128,18.5,0.74,421,2,555.5,18.5
129,19.1,0.76,421,2,516.2222222,19.1
130,17.1,0.95,421,2,488.1666667,17.1
131,17.5,0.92,421,2,280.5555556,17.5
132,18.7,0.85,421,2,471.3333333,18.7
133,19,0.83,421,2,650.8888889,19
134,19.1,0.78,421,2,594.7777778,19.1
135,19.7,0.68,421,2,347.8888889,19.7
136,20.1,0.72,421,2,325.4444444,20.1
137,20.5,0.73,421,2,241.2777778,20.5
138,19.8,0.76,421,2,168.3333333,19.8
139,17.3,0.86,421,2,16.83333333,17.3
140,17.4,0.77,421,2,0,17.4
141,16.8,0.74,421,2,0,16.8
142,15,0.85,421,2,0,15
143,15,0.84,421,2,0,15
144,14.3,0.95,421,1.7,0,14.3
145,13.8,0.96,421,1.7,0,13.8
146,13.5,0.96,421,1.7,0,13.5
147,13.9,0.97,421,1.7,0,13.9
148,14.5,0.97,421,1.7,22.44444444,14.5
149,15,0.97,421,1.7,101,15
150,17,0.85,421,1.7,432.0555556,17
151,19.1,0.76,421,1.7,909,19.1
152,18.5,0.78,421,1.7,460.1111111,18.5
153,19,0.81,421,1.7,269.3333333,19
154,19.4,0.81,421,1.7,1133.444444,19.4
155,21.1,0.77,421,1.7,886.5555556,21.1
156,21.6,0.73,421,1.7,1593.555556,21.6
157,22.8,0.66,421,1.7,1369.111111,22.8
158,23,0.69,421,1.7,1453.277778,23
159,23.3,0.62,421,1.7,998.7777778,23.3
160,23.5,0.63,421,1.7,841.6666667,23.5
161,21.6,0.58,421,1.7,566.7222222,21.6
162,21.3,0.57,421,1.7,336.6666667,21.3
163,19.3,0.76,421,1.7,61.72222222,19.3
164,18.6,0.83,421,1.7,0,18.6
165,18.1,0.87,421,1.7,0,18.1
166,17,0.91,421,1.7,0,17
167,14.5,0.93,421,1.7,0,14.5
168,11.8,0.66,421,3.6,0,11.8
169,12.1,0.65,421,3.6,0,12.1
170,12.1,0.68,421,3.6,0,12.1
171,12.8,0.69,421,3.6,0,12.8
172,12.6,0.71,421,3.6,56.11111111,12.6
173,17.1,0.61,421,3.6,303,17.1
174,19.3,0.54,421,3.6,695.7777778,19.3
175,22.3,0.45,421,3.6,976.3333333,22.3
176,22.7,0.45,421,3.6,942.6666667,22.7
177,24.5,0.41,421,3.6,1088.555556,24.5
178,27.1,0.33,421,3.6,1750.666667,27.1
179,28.6,0.32,421,3.6,1896.555556,28.6
180,29.7,0.28,421,3.6,1834.833333,29.7
181,29.4,0.29,421,3.6,1363.5,29.4
182,30.5,0.27,421,3.6,1498.166667,30.5
183,30,0.28,421,3.6,1178.333333,30
184,28.4,0.33,421,3.6,824.8333333,28.4
185,26.8,0.37,421,3.6,280.5555556,26.8
186,25.3,0.42,421,3.6,145.8888889,25.3
187,23,0.43,421,3.6,11.22222222,23
188,21.9,0.44,421,3.6,0,21.9
189,20.6,0.44,421,3.6,0,20.6
190,20.4,0.44,421,3.6,0,20.4
191,19.8,0.45,421,3.6,0,19.8
192,14,0.91,421,5.2,0,14
193,14.9,0.76,421,5.2,0,14.9
194,12.6,0.93,421,5.2,0,12.6
195,10.9,0.94,421,5.2,0,10.9
196,11.7,0.97,421,5.2,56.11111111,11.7
197,14.5,0.82,421,5.2,359.1111111,14.5
198,16.8,0.72,421,5.2,695.7777778,16.8
199,17.7,0.71,421,5.2,981.9444444,17.7
200,19,0.63,421,5.2,1374.722222,19
201,19.7,0.59,421,5.2,1520.611111,19.7
202,20.6,0.58,421,5.2,1346.666667,20.6
203,21.6,0.55,421,5.2,1548.666667,21.6
204,22.4,0.54,421,5.2,1834.833333,22.4
205,23,0.52,421,5.2,1795.555556,23
206,22.9,0.53,421,5.2,1178.333333,22.9
207,23.2,0.52,421,5.2,628.4444444,23.2
208,22.3,0.56,421,5.2,398.3888889,22.3
209,22,0.62,421,5.2,493.7777778,22
210,19.8,0.73,421,5.2,151.5,19.8
211,17.3,0.82,421,5.2,5.611111111,17.3
212,15.6,0.9,421,5.2,0,15.6
213,15.6,0.88,421,5.2,0,15.6
214,15.3,0.88,421,5.2,0,15.3
215,14.3,0.89,421,5.2,0,14.3
216,8.9,0.73,421,3.8,0,8.9
217,8.4,0.72,421,3.8,0,8.4
218,7.5,0.75,421,3.8,0,7.5
219,7.2,0.75,421,3.8,0,7.2
220,7.9,0.73,421,3.8,44.88888889,7.9
221,9.5,0.68,421,3.8,252.5,9.5
222,10.9,0.61,421,3.8,544.2777778,10.9
223,11.8,0.6,421,3.8,892.1666667,11.8
224,12.7,0.55,421,3.8,965.1111111,12.7
225,14.4,0.49,421,3.8,981.9444444,14.4
226,14.5,0.53,421,3.8,965.1111111,14.5
227,16.5,0.47,421,3.8,1346.666667,16.5
228,17.9,0.38,421,3.8,1795.555556,17.9
229,18.6,0.38,421,3.8,1694.555556,18.6
230,19.1,0.36,421,3.8,1520.611111,19.1
231,19.5,0.3,421,3.8,1262.5,19.5
232,18.9,0.34,421,3.8,959.5,18.9
233,18,0.37,421,3.8,617.2222222,18
234,16.5,0.38,421,3.8,286.1666667,16.5
235,13,0.55,421,3.8,44.88888889,13
236,12.1,0.59,421,3.8,0,12.1
237,11.6,0.61,421,3.8,0,11.6
238,10.9,0.66,421,3.8,0,10.9
239,10.8,0.65,421,3.8,0,10.8
240,11.8,0.88,421,5.3,0,11.8
241,11.4,0.86,421,5.3,0,11.4
242,11.3,0.86,421,5.3,0,11.3
243,10.7,0.88,421,5.3,0,10.7
244,10.9,0.87,421,5.3,56.11111111,10.9
245,12.8,0.81,421,5.3,336.6666667,12.8
246,14.8,0.75,421,5.3,718.2222222,14.8
247,15.6,0.73,421,5.3,852.8888889,15.6
248,19,0.63,421,5.3,1144.666667,19
249,19.6,0.5,421,5.3,1144.666667,19.6
250,20.5,0.45,421,5.3,1144.666667,20.5
251,20.1,0.54,421,5.3,1498.166667,20.1
252,15.7,0.67,421,5.3,639.6666667,15.7
253,19.3,0.51,421,5.3,1223.222222,19.3
254,18.4,0.58,421,5.3,634.0555556,18.4
255,19.7,0.48,421,5.3,931.4444444,19.7
256,18.9,0.48,421,5.3,937.0555556,18.9
257,17.8,0.53,421,5.3,549.8888889,17.8
258,16.5,0.58,421,5.3,230.0555556,16.5
259,15.5,0.61,421,5.3,11.22222222,15.5
260,14.5,0.71,421,5.3,0,14.5
261,13.6,0.75,421,5.3,0,13.6
262,11.9,0.8,421,5.3,0,11.9
263,11,0.84,421,5.3,0,11
264,10.8,0.83,421,4.5,0,10.8
265,10.4,0.84,421,4.5,0,10.4
266,10.9,0.82,421,4.5,0,10.9
267,10.3,0.86,421,4.5,0,10.3
268,11.3,0.82,421,4.5,89.77777778,11.3
269,12.7,0.78,421,4.5,325.4444444,12.7
270,14.4,0.76,421,4.5,505,14.4
271,15.2,0.7,421,4.5,628.4444444,15.2
272,19,0.57,421,4.5,830.4444444,19
273,20,0.54,421,4.5,1240.055556,20
274,21,0.53,421,4.5,656.5,21
275,22.5,0.46,421,4.5,819.2222222,22.5
276,22.4,0.42,421,4.5,774.3333333,22.4
277,23.3,0.43,421,4.5,875.3333333,23.3
278,23.3,0.45,421,4.5,561.1111111,23.3
279,24.6,0.44,421,4.5,751.8888889,24.6
280,23.8,0.47,421,4.5,970.7222222,23.8
281,22.9,0.51,421,4.5,774.3333333,22.9
282,21,0.61,421,4.5,263.7222222,21
283,19.6,0.69,421,4.5,5.611111111,19.6
284,19.7,0.67,421,4.5,0,19.7
285,19.8,0.66,421,4.5,0,19.8
286,17.9,0.82,421,4.5,0,17.9
287,17.8,0.79,421,4.5,0,17.8
288,17.9,0.75,421,3.1,0,17.9
289,16.4,0.88,421,3.1,0,16.4
290,16.3,0.88,421,3.1,0,16.3
291,16.3,0.86,421,3.1,0,16.3
292,16.8,0.85,421,3.1,11.22222222,16.8
293,17.6,0.84,421,3.1,129.0555556,17.6
294,19.3,0.74,421,3.1,538.6666667,19.3
295,19.2,0.79,421,3.1,493.7777778,19.2
296,21.7,0.69,421,3.1,785.5555556,21.7
297,21.9,0.64,421,3.1,1430.833333,21.9
298,22.3,0.61,421,3.1,415.2222222,22.3
299,23.9,0.6,421,3.1,1616,23.9
300,23.4,0.61,421,3.1,1234.444444,23.4
301,22.4,0.65,421,3.1,1475.722222,22.4
302,19.7,0.8,421,3.1,246.8888889,19.7
303,17.4,0.76,421,3.1,202,17.4
304,17.2,0.91,421,3.1,78.55555556,17.2
305,18.1,0.89,421,3.1,207.6111111,18.1
306,17.6,0.85,421,3.1,123.4444444,17.6
307,16.1,0.91,421,3.1,39.27777778,16.1
308,16,0.92,421,3.1,0,16
309,15.5,0.92,421,3.1,0,15.5
310,15.2,0.96,421,3.1,0,15.2
311,18.6,0.69,421,3.1,0,18.6
312,12.5,0.78,421,1.4,0,12.5
313,12.5,0.77,421,1.4,0,12.5
314,12.6,0.73,421,1.4,0,12.6
315,11.6,0.84,421,1.4,0,11.6
316,12.7,0.76,421,1.4,28.05555556,12.7
317,13.3,0.75,421,1.4,241.2777778,13.3
318,14.2,0.71,421,1.4,443.2777778,14.2
319,14.3,0.71,421,1.4,280.5555556,14.3
320,13.7,0.73,421,1.4,269.3333333,13.7
321,15.6,0.64,421,1.4,656.5,15.6
322,16.3,0.6,421,1.4,1066.111111,16.3
323,16.8,0.55,421,1.4,942.6666667,16.8
324,17.4,0.55,421,1.4,875.3333333,17.4
325,17.8,0.54,421,1.4,965.1111111,17.8
326,18.3,0.51,421,1.4,1004.388889,18.3
327,16.5,0.62,421,1.4,1122.222222,16.5
328,18,0.46,421,1.4,690.1666667,18
329,15,0.64,421,1.4,471.3333333,15
330,14.5,0.65,421,1.4,230.0555556,14.5
331,14.1,0.66,421,1.4,22.44444444,14.1
332,13.4,0.69,421,1.4,0,13.4
333,13.1,0.75,421,1.4,0,13.1
334,13.6,0.67,421,1.4,0,13.6
335,13.6,0.68,421,1.4,0,13.6
336,14.6,0.93,421,1.6,0,14.6
337,14.8,0.94,421,1.6,0,14.8
338,13.8,0.95,421,1.6,0,13.8
339,13.7,0.95,421,1.6,0,13.7
340,14.6,0.95,421,1.6,50.5,14.6
341,17.3,0.89,421,1.6,263.7222222,17.3
342,19.1,0.83,421,1.6,561.1111111,19.1
343,21.1,0.74,421,1.6,948.2777778,21.1
344,23,0.65,421,1.6,1296.166667,23
345,25.1,0.52,421,1.6,1582.333333,25.1
346,25.1,0.53,421,1.6,1385.944444,25.1
347,26.7,0.45,421,1.6,1195.166667,26.7
348,26.2,0.54,421,1.6,1823.611111,26.2
349,27.3,0.41,421,1.6,1307.388889,27.3
350,27.8,0.45,421,1.6,1004.388889,27.8
351,24.3,0.6,421,1.6,791.1666667,24.3
352,24.1,0.61,421,1.6,331.0555556,24.1
353,23.6,0.66,421,1.6,482.5555556,23.6
354,20.2,0.81,421,1.6,101,20.2
355,18.6,0.82,421,1.6,39.27777778,18.6
356,18.1,0.85,421,1.6,0,18.1
357,18.2,0.81,421,1.6,0,18.2
358,17.7,0.88,421,1.6,0,17.7
359,15,0.91,421,1.6,0,15
360,12.2,0.94,421,1.7,0,12.2
361,12,0.93,421,1.7,0,12
362,11.9,0.92,421,1.7,0,11.9
363,11.5,0.9,421,1.7,0,11.5
364,11,0.92,421,1.7,33.66666667,11
365,12.6,0.84,421,1.7,269.3333333,12.6
366,12.9,0.78,421,1.7,594.7777778,12.9
367,14.3,0.74,421,1.7,785.5555556,14.3
368,15.9,0.7,421,1.7,1082.944444,15.9
369,17.4,0.68,421,1.7,1268.111111,17.4
370,18.2,0.65,421,1.7,1318.611111,18.2
371,19.9,0.59,421,1.7,1705.777778,19.9
372,20.9,0.61,421,1.7,1919,20.9
373,21.1,0.62,421,1.7,1947.055556,21.1
374,21.6,0.58,421,1.7,1593.555556,21.6
375,22.7,0.61,421,1.7,1335.444444,22.7
376,21.9,0.59,421,1.7,763.1111111,21.9
377,21.7,0.61,421,1.7,454.5,21.7
378,20.6,0.64,421,1.7,280.5555556,20.6
379,18.2,0.74,421,1.7,5.611111111,18.2
380,16.2,0.84,421,1.7,0,16.2
381,15.9,0.86,421,1.7,0,15.9
382,15.6,0.86,421,1.7,0,15.6
383,15.3,0.88,421,1.7,0,15.3
384,19.2,0.45,421,1.6,0,19.2
385,19,0.43,421,1.6,0,19
386,18.3,0.41,421,1.6,0,18.3
387,17.9,0.39,421,1.6,0,17.9
388,17.5,0.38,421,1.6,39.27777778,17.5
389,18.5,0.35,421,1.6,202,18.5
390,19.8,0.33,421,1.6,639.6666667,19.8
391,22.5,0.29,421,1.6,937.0555556,22.5
392,25.2,0.28,421,1.6,1284.944444,25.2
393,27.4,0.21,421,1.6,1475.722222,27.4
394,28.5,0.2,421,1.6,1688.944444,28.5
395,29.5,0.22,421,1.6,1767.5,29.5
396,30.1,0.21,421,1.6,1750.666667,30.1
397,30.8,0.21,421,1.6,1627.222222,30.8
398,31,0.21,421,1.6,1442.055556,31
399,31.1,0.2,421,1.6,1155.888889,31.1
400,29.9,0.27,421,1.6,673.3333333,29.9
401,28.5,0.28,421,1.6,505,28.5
402,26.2,0.35,421,1.6,207.6111111,26.2
403,25.5,0.33,421,1.6,50.5,25.5
404,24.2,0.39,421,1.6,0,24.2
405,20,0.51,421,1.6,0,20
406,21.2,0.48,421,1.6,0,21.2
407,22,0.45,421,1.6,0,22
408,16.6,0.65,421,2,0,16.6
409,16.5,0.63,421,2,0,16.5
410,16.2,0.62,421,2,0,16.2
411,16.7,0.56,421,2,0,16.7
412,16.9,0.56,421,2,33.66666667,16.9
413,18,0.53,421,2,297.3888889,18
